ticker,asset_size,kind,source_currency
451540.KS,1080500000000.0,aum,KRW
371460.KS,796500000000.0,aum,KRW
385540.KS,2092900000000.0,aum,KRW
0195S0.KS,1968900000000.0,aum,KRW
489250.KS,582100000000.0,aum,KRW
449190.KS,568300000000.0,aum,KRW
446770.KS,1670600000000.0,aum,KRW
069660.KS,791500000000.0,aum,KRW
469150.KS,1025300000000.0,aum,KRW
456600.KS,2262600000000.0,aum,KRW
497570.KS,1206700000000.0,aum,KRW
232080.KS,1160300000000.0,aum,KRW
0025N0.KS,753100000000.0,aum,KRW
481060.KS,777800000000.0,aum,KRW
133690.KS,11138700000000.0,aum,KRW
148020.KS,4313900000000.0,aum,KRW
486290.KS,2180200000000.0,aum,KRW
295040.KS,890000000000.0,aum,KRW
091230.KS,1304200000000.0,aum,KRW
466920.KS,1561400000000.0,aum,KRW
423920.KS,777900000000.0,aum,KRW
426030.KS,2518300000000.0,aum,KRW
102970.KS,734300000000.0,aum,KRW
132030.KS,322400000000.0,aum,KRW
289480.KS,27500000000.0,aum,KRW
477080.KS,1548400000000.0,aum,KRW
0183J0.KS,1075300000000.0,aum,KRW
441680.KS,303600000000.0,aum,KRW
276970.KS,36200000000.0,aum,KRW
439870.KS,423400000000.0,aum,KRW
457480.KS,744800000000.0,aum,KRW
456610.KS,719000000000.0,aum,KRW
139260.KS,2589400000000.0,aum,KRW
458760.KS,711400000000.0,aum,KRW
368590.KS,1529100000000.0,aum,KRW
292150.KS,2004400000000.0,aum,KRW
367380.KS,3470100000000.0,aum,KRW
472150.KS,2169500000000.0,aum,KRW
0193W0.KS,2040400000000.0,aum,KRW
114800.KS,819900000000.0,aum,KRW
455850.KS,911200000000.0,aum,KRW
0061Z0.KS,756100000000.0,aum,KRW
490590.KS,749900000000.0,aum,KRW
0195R0.KS,1083900000000.0,aum,KRW
294400.KS,1782800000000.0,aum,KRW
273130.KS,3653000000000.0,aum,KRW
411060.KS,3872400000000.0,aum,KRW
455890.KS,2783800000000.0,aum,KRW
105190.KS,1763700000000.0,aum,KRW
402970.KS,941800000000.0,aum,KRW
390390.KS,1367900000000.0,aum,KRW
487230.KS,1694900000000.0,aum,KRW
252670.KS,880700000000.0,aum,KRW
360200.KS,4018100000000.0,aum,KRW
446720.KS,1024900000000.0,aum,KRW
305540.KS,813800000000.0,aum,KRW
487240.KS,2979200000000.0,aum,KRW
379780.KS,1519400000000.0,aum,KRW
0177N0.KS,1438000000000.0,aum,KRW
385560.KS,806700000000.0,aum,KRW
458730.KS,4111100000000.0,aum,KRW
448330.KS,1241700000000.0,aum,KRW
237350.KS,942100000000.0,aum,KRW
494890.KS,1075400000000.0,aum,KRW
069500.KS,24022500000000.0,aum,KRW
214980.KS,1891500000000.0,aum,KRW
0072R0.KS,1165200000000.0,aum,KRW
459580.KS,6806000000000.0,aum,KRW
488770.KS,7647500000000.0,aum,KRW
441800.KS,786700000000.0,aum,KRW
449180.KS,935100000000.0,aum,KRW
494310.KS,906500000000.0,aum,KRW
0139F0.KS,976200000000.0,aum,KRW
423160.KS,3540200000000.0,aum,KRW
152100.KS,1436100000000.0,aum,KRW
379800.KS,9885600000000.0,aum,KRW
102780.KS,3295700000000.0,aum,KRW
465580.KS,1008100000000.0,aum,KRW
442580.KS,1782300000000.0,aum,KRW
272580.KS,745800000000.0,aum,KRW
360750.KS,19774800000000.0,aum,KRW
498410.KS,791600000000.0,aum,KRW
469830.KS,1033400000000.0,aum,KRW
379810.KS,8798900000000.0,aum,KRW
449450.KS,1104100000000.0,aum,KRW
226490.KS,1034000000000.0,aum,KRW
0117V0.KS,951400000000.0,aum,KRW
0177R0.KS,727100000000.0,aum,KRW
0193T0.KS,3361800000000.0,aum,KRW
278540.KS,2282200000000.0,aum,KRW
329200.KS,1486100000000.0,aum,KRW
233740.KS,2677800000000.0,aum,KRW
381180.KS,6294200000000.0,aum,KRW
0048J0.KS,786700000000.0,aum,KRW
278530.KS,7425700000000.0,aum,KRW
479080.KS,1096900000000.0,aum,KRW
491010.KS,716500000000.0,aum,KRW
495050.KS,952900000000.0,aum,KRW
438100.KS,925000000000.0,aum,KRW
157450.KS,1306600000000.0,aum,KRW
315930.KS,1386900000000.0,aum,KRW
161510.KS,2378600000000.0,aum,KRW
091160.KS,5301100000000.0,aum,KRW
395270.KS,3492100000000.0,aum,KRW
091180.KS,408400000000.0,aum,KRW
466940.KS,786700000000.0,aum,KRW
0162Z0.KS,4031300000000.0,aum,KRW
438080.KS,1226800000000.0,aum,KRW
475630.KS,1506200000000.0,aum,KRW
395160.KS,3824900000000.0,aum,KRW
498400.KS,5497700000000.0,aum,KRW
479520.KS,1009300000000.0,aum,KRW
475720.KS,816200000000.0,aum,KRW
495850.KS,696500000000.0,aum,KRW
445290.KS,996600000000.0,aum,KRW
396500.KS,8955300000000.0,aum,KRW
284430.KS,2066800000000.0,aum,KRW
381170.KS,3771100000000.0,aum,KRW
453850.KS,1536300000000.0,aum,KRW
494300.KS,918700000000.0,aum,KRW
144600.KS,714800000000.0,aum,KRW
356540.KS,1044100000000.0,aum,KRW
0117L0.KS,976000000000.0,aum,KRW
449170.KS,2460200000000.0,aum,KRW
472830.KS,47700000000.0,aum,KRW
487340.KS,692800000000.0,aum,KRW
305720.KS,1488100000000.0,aum,KRW
357870.KS,3588600000000.0,aum,KRW
229200.KS,4000700000000.0,aum,KRW
153130.KS,845300000000.0,aum,KRW
0167A0.KS,5508700000000.0,aum,KRW
102110.KS,9844300000000.0,aum,KRW
476550.KS,804300000000.0,aum,KRW
441640.KS,1666700000000.0,aum,KRW
122630.KS,5612800000000.0,aum,KRW
429000.KS,183100000000.0,aum,KRW
